Input,,,Output
0.500000, 0.137000,,0.608310, 0.019980
0.500000, 0.138000,,0.608264, 0.020149
0.500000, 0.139000,,0.608217, 0.020320
0.500000, 0.140000,,0.608171, 0.020491
0.500000, 0.141000,,0.608124, 0.020662
0.500000, 0.142000,,0.608078, 0.020834
0.500000, 0.143000,,0.608031, 0.021006
0.500000, 0.144000,,0.607984, 0.021179
0.500000, 0.145000,,0.607937, 0.021352
0.500000, 0.146000,,0.607890, 0.021526
0.500000, 0.147000,,0.607842, 0.021700
0.500000, 0.148000,,0.607795, 0.021875
0.500000, 0.149000,,0.607748, 0.022050
0.500000, 0.150000,,0.607700, 0.022225
0.500000, 0.151000,,0.607652, 0.022402
0.500000, 0.152000,,0.607605, 0.022578
0.500000, 0.153000,,0.607557, 0.022755
0.500000, 0.154000,,0.607509, 0.022933
0.500000, 0.155000,,0.607461, 0.023111
0.500000, 0.156000,,0.607414, 0.023290
0.500000, 0.157000,,0.607366, 0.023469
0.500000, 0.158000,,0.607317, 0.023649
0.500000, 0.159000,,0.607270, 0.023829
0.500000, 0.160000,,0.607221, 0.024009
0.500000, 0.161000,,0.607173, 0.024190
0.500000, 0.162000,,0.607125, 0.024372
0.500000, 0.163000,,0.607077, 0.024554
0.500000, 0.164000,,0.607029, 0.024737
0.500000, 0.165000,,0.606980, 0.024920
0.500000, 0.166000,,0.606932, 0.025104
0.500000, 0.167000,,0.606884, 0.025288
0.500000, 0.168000,,0.606835, 0.025473
0.500000, 0.169000,,0.606787, 0.025658
0.500000, 0.170000,,0.606739, 0.025843
0.500000, 0.171000,,0.606690, 0.026030
0.500000, 0.172000,,0.606642, 0.026216
0.500000, 0.173000,,0.606594, 0.026404
0.500000, 0.174000,,0.606546, 0.026591
0.500000, 0.175000,,0.606497, 0.026780
0.500000, 0.176000,,0.606449, 0.026968
0.500000, 0.177000,,0.606401, 0.027158
0.500000, 0.178000,,0.606353, 0.027347
0.500000, 0.179000,,0.606305, 0.027538
0.500000, 0.180000,,0.606257, 0.027728
0.500000, 0.181000,,0.606209, 0.027920
0.500000, 0.182000,,0.606160, 0.028112
0.500000, 0.183000,,0.606113, 0.028304
0.500000, 0.184000,,0.606065, 0.028497
0.500000, 0.185000,,0.606017, 0.028690
0.500000, 0.186000,,0.605969, 0.028884
0.500000, 0.187000,,0.605922, 0.029078
0.500000, 0.188000,,0.605874, 0.029273
0.500000, 0.189000,,0.605827, 0.029469
0.500000, 0.190000,,0.605779, 0.029665
0.500000, 0.191000,,0.605732, 0.029861
0.500000, 0.192000,,0.605685, 0.030058
0.500000, 0.193000,,0.605638, 0.030256
0.500000, 0.194000,,0.605591, 0.030454
0.500000, 0.195000,,0.605544, 0.030652
0.500000, 0.196000,,0.605497, 0.030851
0.500000, 0.197000,,0.605450, 0.031051
0.500000, 0.198000,,0.605404, 0.031251
0.500000, 0.199000,,0.605358, 0.031451
0.500000, 0.200000,,0.605311, 0.031652
0.500000, 0.201000,,0.605265, 0.031854
0.500000, 0.202000,,0.605219, 0.032056
0.500000, 0.203000,,0.605173, 0.032258
0.500000, 0.204000,,0.605128, 0.032462
0.500000, 0.205000,,0.605082, 0.032665
0.500000, 0.206000,,0.605037, 0.032869
0.500000, 0.207000,,0.604991, 0.033074
0.500000, 0.208000,,0.604946, 0.033279
0.500000, 0.209000,,0.604901, 0.033485
0.500000, 0.210000,,0.604857, 0.033691
0.500000, 0.211000,,0.604812, 0.033897
0.500000, 0.212000,,0.604768, 0.034105
0.500000, 0.213000,,0.604724, 0.034312
0.500000, 0.214000,,0.604680, 0.034520
0.500000, 0.215000,,0.604636, 0.034729
0.500000, 0.216000,,0.604592, 0.034938
0.500000, 0.217000,,0.604549, 0.035147
0.500000, 0.218000,,0.604506, 0.035358
0.500000, 0.219000,,0.604463, 0.035568
0.500000, 0.220000,,0.604420, 0.035779
0.500000, 0.221000,,0.604378, 0.035991
0.500000, 0.222000,,0.604335, 0.036203
0.500000, 0.223000,,0.604293, 0.036416
0.500000, 0.224000,,0.604251, 0.036629
0.500000, 0.225000,,0.604210, 0.036842
0.500000, 0.226000,,0.604168, 0.037056
0.500000, 0.227000,,0.604127, 0.037271
0.500000, 0.228000,,0.604087, 0.037486
0.500000, 0.229000,,0.604046, 0.037701
0.500000, 0.230000,,0.604006, 0.037917
0.500000, 0.231000,,0.603966, 0.038133
0.500000, 0.232000,,0.603926, 0.038350
0.500000, 0.233000,,0.603886, 0.038567
0.500000, 0.234000,,0.603847, 0.038785
0.500000, 0.235000,,0.603808, 0.039004
0.500000, 0.236000,,0.603769, 0.039222
0.500000, 0.237000,,0.603731, 0.039442
0.500000, 0.238000,,0.603693, 0.039661
0.500000, 0.239000,,0.603655, 0.039881
0.500000, 0.240000,,0.603617, 0.040102
0.500000, 0.241000,,0.603580, 0.040323
0.500000, 0.242000,,0.603543, 0.040544
0.500000, 0.243000,,0.603506, 0.040766
0.500000, 0.244000,,0.603470, 0.040989
0.500000, 0.245000,,0.603434, 0.041212
0.500000, 0.246000,,0.603399, 0.041435
0.500000, 0.247000,,0.603363, 0.041659
0.500000, 0.248000,,0.603328, 0.041883
0.500000, 0.249000,,0.603294, 0.042108
0.500000, 0.250000,,0.603259, 0.042333
0.500000, 0.251000,,0.603225, 0.042558
0.500000, 0.252000,,0.603191, 0.042784
0.500000, 0.253000,,0.603158, 0.043011
0.500000, 0.254000,,0.603125, 0.043237
0.500000, 0.255000,,0.603093, 0.043465
0.500000, 0.256000,,0.603060, 0.043692
0.500000, 0.257000,,0.603028, 0.043920
0.500000, 0.258000,,0.602997, 0.044149
0.500000, 0.259000,,0.602966, 0.044378
0.500000, 0.260000,,0.602935, 0.044607
0.500000, 0.261000,,0.602905, 0.044837
0.500000, 0.262000,,0.602875, 0.045067
0.500000, 0.263000,,0.602845, 0.045297
0.500000, 0.264000,,0.602816, 0.045528
0.500000, 0.265000,,0.602787, 0.045760
0.500000, 0.266000,,0.602758, 0.045992
0.500000, 0.267000,,0.602730, 0.046224
0.500000, 0.268000,,0.602702, 0.046456
0.500000, 0.269000,,0.602675, 0.046689
0.500000, 0.270000,,0.602648, 0.046922
0.500000, 0.271000,,0.602622, 0.047156
0.500000, 0.272000,,0.602596, 0.047390
0.500000, 0.273000,,0.602570, 0.047625
0.500000, 0.274000,,0.602545, 0.047859
0.500000, 0.275000,,0.602520, 0.048095
0.500000, 0.276000,,0.602496, 0.048330
0.500000, 0.277000,,0.602472, 0.048566
0.500000, 0.278000,,0.602449, 0.048803
0.500000, 0.279000,,0.602425, 0.049039
0.500000, 0.280000,,0.602403, 0.049276
0.500000, 0.281000,,0.602381, 0.049513
0.500000, 0.282000,,0.602359, 0.049751
0.500000, 0.283000,,0.602338, 0.049989
0.500000, 0.284000,,0.602317, 0.050228
0.500000, 0.285000,,0.602297, 0.050467
0.500000, 0.286000,,0.602277, 0.050705
0.500000, 0.287000,,0.602257, 0.050945
0.500000, 0.288000,,0.602238, 0.051185
0.500000, 0.289000,,0.602220, 0.051425
0.500000, 0.290000,,0.602202, 0.051665
0.500000, 0.291000,,0.602184, 0.051906
0.500000, 0.292000,,0.602167, 0.052147
0.500000, 0.293000,,0.602150, 0.052388
0.500000, 0.294000,,0.602134, 0.052630
0.500000, 0.295000,,0.602118, 0.052872
0.500000, 0.296000,,0.602103, 0.053114
0.500000, 0.297000,,0.602088, 0.053357
0.500000, 0.298000,,0.602074, 0.053599
0.500000, 0.299000,,0.602061, 0.053843
0.500000, 0.300000,,0.602047, 0.054086
0.500000, 0.301000,,0.602034, 0.054330
0.500000, 0.302000,,0.602022, 0.054574
0.500000, 0.303000,,0.602010, 0.054818
0.500000, 0.304000,,0.601999, 0.055063
0.500000, 0.305000,,0.601988, 0.055307
0.500000, 0.306000,,0.601978, 0.055552
0.500000, 0.307000,,0.601968, 0.055798
0.500000, 0.308000,,0.601959, 0.056044
0.500000, 0.309000,,0.601950, 0.056289
0.500000, 0.310000,,0.601942, 0.056535
0.500000, 0.311000,,0.601935, 0.056782
0.500000, 0.312000,,0.601928, 0.057028
0.500000, 0.313000,,0.601921, 0.057275
0.500000, 0.314000,,0.601915, 0.057522
0.500000, 0.315000,,0.601909, 0.057770
0.500000, 0.316000,,0.601904, 0.058017
0.500000, 0.317000,,0.601899, 0.058265
0.500000, 0.318000,,0.601896, 0.058513
0.500000, 0.319000,,0.601892, 0.058761
0.500000, 0.320000,,0.601889, 0.059010
0.500000, 0.321000,,0.601887, 0.059258
0.500000, 0.322000,,0.601885, 0.059507
0.500000, 0.323000,,0.601884, 0.059756
0.500000, 0.324000,,0.601883, 0.060005
0.500000, 0.325000,,0.601883, 0.060255
0.500000, 0.326000,,0.601883, 0.060504
0.500000, 0.327000,,0.601884, 0.060754
0.500000, 0.328000,,0.601886, 0.061004
0.500000, 0.329000,,0.601887, 0.061254
0.500000, 0.330000,,0.601890, 0.061504
0.500000, 0.331000,,0.601893, 0.061755
0.500000, 0.332000,,0.601897, 0.062006
0.500000, 0.333000,,0.601901, 0.062256
0.500000, 0.334000,,0.601906, 0.062507
0.500000, 0.335000,,0.601911, 0.062758
0.500000, 0.336000,,0.601917, 0.063010
0.500000, 0.337000,,0.601924, 0.063261
0.500000, 0.338000,,0.601930, 0.063513
0.500000, 0.339000,,0.601938, 0.063764
0.500000, 0.340000,,0.601946, 0.064016
0.500000, 0.341000,,0.601955, 0.064268
0.500000, 0.342000,,0.601964, 0.064520
0.500000, 0.343000,,0.601974, 0.064772
0.500000, 0.344000,,0.601985, 0.065024
0.500000, 0.345000,,0.601996, 0.065277
0.500000, 0.346000,,0.602007, 0.065530
0.500000, 0.347000,,0.602019, 0.065782
0.500000, 0.348000,,0.602032, 0.066035
0.500000, 0.349000,,0.602045, 0.066287
0.500000, 0.350000,,0.602059, 0.066540
0.500000, 0.351000,,0.602073, 0.066793
0.500000, 0.352000,,0.602088, 0.067046
0.500000, 0.353000,,0.602104, 0.067299
0.500000, 0.354000,,0.602120, 0.067553
0.500000, 0.355000,,0.602137, 0.067806
0.500000, 0.356000,,0.602154, 0.068059
0.500000, 0.357000,,0.602172, 0.068312
0.500000, 0.358000,,0.602191, 0.068566
0.500000, 0.359000,,0.602210, 0.068819
0.500000, 0.360000,,0.602229, 0.069073
0.500000, 0.361000,,0.602250, 0.069326
0.500000, 0.362000,,0.602271, 0.069580
0.500000, 0.363000,,0.602292, 0.069833
0.500000, 0.364000,,0.602314, 0.070087
0.500000, 0.365000,,0.602336, 0.070341
0.500000, 0.366000,,0.602359, 0.070594
0.500000, 0.367000,,0.602383, 0.070848
0.500000, 0.368000,,0.602407, 0.071102
0.500000, 0.369000,,0.602432, 0.071356
0.500000, 0.370000,,0.602458, 0.071609
0.500000, 0.371000,,0.602484, 0.071863
0.500000, 0.372000,,0.602511, 0.072116
0.500000, 0.373000,,0.602538, 0.072370
0.500000, 0.374000,,0.602565, 0.072624
0.500000, 0.375000,,0.602594, 0.072877
0.500000, 0.376000,,0.602623, 0.073131
0.500000, 0.377000,,0.602652, 0.073385
0.500000, 0.378000,,0.602682, 0.073638
0.500000, 0.379000,,0.602713, 0.073892
0.500000, 0.380000,,0.602744, 0.074145
0.500000, 0.381000,,0.602776, 0.074398
0.500000, 0.382000,,0.602809, 0.074652
0.500000, 0.383000,,0.602842, 0.074905
0.500000, 0.384000,,0.602875, 0.075158
0.500000, 0.385000,,0.602909, 0.075412
0.500000, 0.386000,,0.602944, 0.075665
0.500000, 0.387000,,0.602980, 0.075918
0.500000, 0.388000,,0.603015, 0.076171
0.500000, 0.389000,,0.603052, 0.076424
0.500000, 0.390000,,0.603089, 0.076676
0.500000, 0.391000,,0.603127, 0.076929
0.500000, 0.392000,,0.603165, 0.077182
0.500000, 0.393000,,0.603204, 0.077434
0.500000, 0.394000,,0.603243, 0.077687
0.500000, 0.395000,,0.603283, 0.077939
0.500000, 0.396000,,0.603323, 0.078191
0.500000, 0.397000,,0.603364, 0.078443
0.500000, 0.398000,,0.603406, 0.078695
0.500000, 0.399000,,0.603448, 0.078947
0.500000, 0.400000,,0.603491, 0.079198
0.500000, 0.401000,,0.603534, 0.079450
0.500000, 0.402000,,0.603578, 0.079701
0.500000, 0.403000,,0.603623, 0.079953
0.500000, 0.404000,,0.603668, 0.080204
0.500000, 0.405000,,0.603713, 0.080455
0.500000, 0.406000,,0.603759, 0.080706
0.500000, 0.407000,,0.603806, 0.080956
0.500000, 0.408000,,0.603853, 0.081207
0.500000, 0.409000,,0.603901, 0.081457
0.500000, 0.410000,,0.603949, 0.081707
0.500000, 0.411000,,0.603998, 0.081957
0.500000, 0.412000,,0.604048, 0.082207
0.500000, 0.413000,,0.604098, 0.082457
0.500000, 0.414000,,0.604148, 0.082706
0.500000, 0.415000,,0.604199, 0.082955
0.500000, 0.416000,,0.604251, 0.083204
0.500000, 0.417000,,0.604303, 0.083453
0.500000, 0.418000,,0.604356, 0.083702
0.500000, 0.419000,,0.604409, 0.083950
0.500000, 0.420000,,0.604463, 0.084198
0.500000, 0.421000,,0.604517, 0.084446
0.500000, 0.422000,,0.604572, 0.084694
0.500000, 0.423000,,0.604628, 0.084942
0.500000, 0.424000,,0.604684, 0.085189
0.500000, 0.425000,,0.604740, 0.085436
0.500000, 0.426000,,0.604797, 0.085683
0.500000, 0.427000,,0.604855, 0.085930
0.500000, 0.428000,,0.604913, 0.086176
0.500000, 0.429000,,0.604971, 0.086422
0.500000, 0.430000,,0.605030, 0.086668
0.500000, 0.431000,,0.605090, 0.086914
0.500000, 0.432000,,0.605150, 0.087159
0.500000, 0.433000,,0.605211, 0.087404
0.500000, 0.434000,,0.605271, 0.087649
0.500000, 0.435000,,0.605333, 0.087894
0.500000, 0.436000,,0.605395, 0.088138
0.500000, 0.437000,,0.605458, 0.088382
0.500000, 0.438000,,0.605521, 0.088626
0.500000, 0.439000,,0.605584, 0.088870
0.500000, 0.440000,,0.605649, 0.089112
0.500000, 0.441000,,0.605713, 0.089355
0.500000, 0.442000,,0.605779, 0.089598
0.500000, 0.443000,,0.605844, 0.089840
0.500000, 0.444000,,0.605910, 0.090082
0.500000, 0.445000,,0.605977, 0.090324
0.500000, 0.446000,,0.606044, 0.090565
0.500000, 0.447000,,0.606111, 0.090807
0.500000, 0.448000,,0.606179, 0.091047
0.500000, 0.449000,,0.606248, 0.091288
0.500000, 0.450000,,0.606317, 0.091528
0.500000, 0.451000,,0.606386, 0.091768
0.500000, 0.452000,,0.606456, 0.092007
0.500000, 0.453000,,0.606526, 0.092246
0.500000, 0.454000,,0.606597, 0.092485
0.500000, 0.455000,,0.606668, 0.092723
0.500000, 0.456000,,0.606740, 0.092961
0.500000, 0.457000,,0.606812, 0.093199
0.500000, 0.458000,,0.606885, 0.093437
0.500000, 0.459000,,0.606957, 0.093673
0.500000, 0.460000,,0.607031, 0.093910
0.500000, 0.461000,,0.607105, 0.094147
0.500000, 0.462000,,0.607179, 0.094382
0.500000, 0.463000,,0.607254, 0.094618
0.500000, 0.464000,,0.607329, 0.094853
0.500000, 0.465000,,0.607404, 0.095088
0.500000, 0.466000,,0.607480, 0.095323
0.500000, 0.467000,,0.607557, 0.095557
0.500000, 0.468000,,0.607634, 0.095791
0.500000, 0.469000,,0.607711, 0.096024
0.500000, 0.470000,,0.607789, 0.096257
0.500000, 0.471000,,0.607867, 0.096490
0.500000, 0.472000,,0.607945, 0.096722
0.500000, 0.473000,,0.608024, 0.096954
0.500000, 0.474000,,0.608104, 0.097185
0.500000, 0.475000,,0.608183, 0.097416
0.500000, 0.476000,,0.608263, 0.097647
0.500000, 0.477000,,0.608344, 0.097877
0.500000, 0.478000,,0.608424, 0.098106
0.500000, 0.479000,,0.608506, 0.098336
0.500000, 0.480000,,0.608587, 0.098565
0.500000, 0.481000,,0.608669, 0.098794
0.500000, 0.482000,,0.608752, 0.099022
0.500000, 0.483000,,0.608834, 0.099249
0.500000, 0.484000,,0.608917, 0.099477
0.500000, 0.485000,,0.609001, 0.099703
0.500000, 0.486000,,0.609084, 0.099930
0.500000, 0.487000,,0.609168, 0.100156
0.500000, 0.488000,,0.609253, 0.100382
0.500000, 0.489000,,0.609338, 0.100607
0.500000, 0.490000,,0.609423, 0.100831
0.500000, 0.491000,,0.609508, 0.101056
0.500000, 0.492000,,0.609594, 0.101279
0.500000, 0.493000,,0.609680, 0.101503
0.500000, 0.494000,,0.609767, 0.101726
0.500000, 0.495000,,0.609853, 0.101948
0.500000, 0.496000,,0.609940, 0.102170
0.500000, 0.497000,,0.610028, 0.102392
0.500000, 0.498000,,0.610115, 0.102613
0.500000, 0.499000,,0.610203, 0.102834
0.500000, 0.500000,,0.610292, 0.103054
0.500000, 0.501000,,0.610380, 0.103274
0.500000, 0.502000,,0.610469, 0.103493
0.500000, 0.503000,,0.610559, 0.103712
0.500000, 0.504000,,0.610648, 0.103930
0.500000, 0.505000,,0.610737, 0.104148
0.500000, 0.506000,,0.610828, 0.104365
0.500000, 0.507000,,0.610918, 0.104582
0.500000, 0.508000,,0.611008, 0.104799
0.500000, 0.509000,,0.611099, 0.105015
0.500000, 0.510000,,0.611190, 0.105230
0.500000, 0.511000,,0.611282, 0.105446
0.500000, 0.512000,,0.611373, 0.105660
0.500000, 0.513000,,0.611465, 0.105874
0.500000, 0.514000,,0.611557, 0.106088
0.500000, 0.515000,,0.611649, 0.106301
0.500000, 0.516000,,0.611742, 0.106513
0.500000, 0.517000,,0.611835, 0.106726
0.500000, 0.518000,,0.611928, 0.106937
0.500000, 0.519000,,0.612021, 0.107148
0.500000, 0.520000,,0.612114, 0.107359
0.500000, 0.521000,,0.612208, 0.107569
0.500000, 0.522000,,0.612302, 0.107779
0.500000, 0.523000,,0.612396, 0.107988
0.500000, 0.524000,,0.612491, 0.108197
0.500000, 0.525000,,0.612585, 0.108405
0.500000, 0.526000,,0.612679, 0.108613
0.500000, 0.527000,,0.612775, 0.108820
0.500000, 0.528000,,0.612869, 0.109027
0.500000, 0.529000,,0.612965, 0.109233
0.500000, 0.530000,,0.613060, 0.109439
0.500000, 0.531000,,0.613156, 0.109644
0.500000, 0.532000,,0.613252, 0.109849
0.500000, 0.533000,,0.613347, 0.110053
0.500000, 0.534000,,0.613444, 0.110256
0.500000, 0.535000,,0.613540, 0.110460
0.500000, 0.536000,,0.613636, 0.110663
0.500000, 0.537000,,0.613733, 0.110865
0.500000, 0.538000,,0.613829, 0.111066
0.500000, 0.539000,,0.613926, 0.111267
0.500000, 0.540000,,0.614023, 0.111468
0.500000, 0.541000,,0.614120, 0.111669
0.500000, 0.542000,,0.614217, 0.111868
0.500000, 0.543000,,0.614314, 0.112067
0.500000, 0.544000,,0.614412, 0.112266
0.500000, 0.545000,,0.614510, 0.112464
0.500000, 0.546000,,0.614607, 0.112661
0.500000, 0.547000,,0.614705, 0.112858
0.500000, 0.548000,,0.614803, 0.113055
0.500000, 0.549000,,0.614901, 0.113251
0.500000, 0.550000,,0.614999, 0.113447
0.500000, 0.551000,,0.615097, 0.113642
0.500000, 0.552000,,0.615195, 0.113836
0.500000, 0.553000,,0.615293, 0.114030
0.500000, 0.554000,,0.615392, 0.114224
0.500000, 0.555000,,0.615491, 0.114417
0.500000, 0.556000,,0.615589, 0.114609
0.500000, 0.557000,,0.615688, 0.114801
0.500000, 0.558000,,0.615786, 0.114993
0.500000, 0.559000,,0.615885, 0.115184
0.500000, 0.560000,,0.615984, 0.115374
0.500000, 0.561000,,0.616082, 0.115564
0.500000, 0.562000,,0.616181, 0.115754
0.500000, 0.563000,,0.616280, 0.115942
0.500000, 0.564000,,0.616379, 0.116131
0.500000, 0.565000,,0.616478, 0.116319
0.500000, 0.566000,,0.616577, 0.116506
0.500000, 0.567000,,0.616676, 0.116693
0.500000, 0.568000,,0.616775, 0.116880
0.500000, 0.569000,,0.616873, 0.117065
0.500000, 0.570000,,0.616973, 0.117250
0.500000, 0.571000,,0.617071, 0.117435
0.500000, 0.572000,,0.617170, 0.117620
0.500000, 0.573000,,0.617269, 0.117804
0.500000, 0.574000,,0.617368, 0.117987
0.500000, 0.575000,,0.617467, 0.118169
0.500000, 0.576000,,0.617566, 0.118352
0.500000, 0.577000,,0.617665, 0.118534
0.500000, 0.578000,,0.617764, 0.118715
0.500000, 0.579000,,0.617862, 0.118896
0.500000, 0.580000,,0.617961, 0.119076
0.500000, 0.581000,,0.618060, 0.119256
0.500000, 0.582000,,0.618158, 0.119435
0.500000, 0.583000,,0.618257, 0.119614
0.500000, 0.584000,,0.618356, 0.119792
0.500000, 0.585000,,0.618454, 0.119970
0.500000, 0.586000,,0.618553, 0.120147
0.500000, 0.587000,,0.618651, 0.120324
0.500000, 0.588000,,0.618749, 0.120501
0.500000, 0.589000,,0.618848, 0.120676
0.500000, 0.590000,,0.618946, 0.120852
0.500000, 0.591000,,0.619044, 0.121027
0.500000, 0.592000,,0.619142, 0.121201
0.500000, 0.593000,,0.619240, 0.121375
0.500000, 0.594000,,0.619337, 0.121548
0.500000, 0.595000,,0.619435, 0.121722
0.500000, 0.596000,,0.619533, 0.121894
0.500000, 0.597000,,0.619630, 0.122066
0.500000, 0.598000,,0.619727, 0.122237
0.500000, 0.599000,,0.619825, 0.122408
0.500000, 0.600000,,0.619922, 0.122579
0.500000, 0.601000,,0.620019, 0.122749
0.500000, 0.602000,,0.620116, 0.122918
0.500000, 0.603000,,0.620212, 0.123088
0.500000, 0.604000,,0.620309, 0.123257
0.500000, 0.605000,,0.620405, 0.123425
0.500000, 0.606000,,0.620501, 0.123592
